,Image Name,ratio
380,5.pdf_Page 1.jpg_in_logo_orange_screenshot.JPG,0.0
381,5.pdf_Page 1.jpg_in_logo_sfr.png,0.0
382,5.pdf_Page 1.jpg_in_logo_SocieteGenerale_screenshot.JPG,0.0
383,5.pdf_Page 1.jpg_in_logo_societe_generale.png,0.0
384,50.pdf_Page 1.jpg_in_logo_bouygues_screenshot.JPG,0.41
385,50.pdf_Page 1.jpg_in_logo_bouygues_telecom.png,0.0
386,50.pdf_Page 1.jpg_in_logo_EDF.png,0.0
387,50.pdf_Page 1.jpg_in_logo_EDF_screenshot.PNG,0.0
388,50.pdf_Page 1.jpg_in_logo_enercorp.png,0.01
389,50.pdf_Page 1.jpg_in_logo_engie.png,0.0
390,50.pdf_Page 1.jpg_in_logo_engie_screenshot.JPG,0.0
391,50.pdf_Page 1.jpg_in_logo_free.png,0.0
392,50.pdf_Page 1.jpg_in_logo_free_screenshot.JPG,0.0
